id,data,inicio,fim,local,rito,tipo,titulo_pt,titulo_fr,titulo_en,restricao_pt,restricao_fr,restricao_en,nota_pt,nota_fr,nota_en
d28-8,2026-08-28,18:00,19:00,casa,log,transfer,Transferência para a sede do Rito Brasileiro e Café,Transfert vers le siège du Rite Brésilien et café,Transfer to the Brazilian Rite headquarters and coffee,,,,,,
d28-9,2026-08-28,19:15,20:45,casa,acon,,Reunião Provincial Anual da Acon – Província da América do Sul,Réunion provinciale annuelle de l’Acon – Province d’Amérique du Sud,Annual Provincial Meeting of Acon – Province of South America,Somente membros do Acon,Réservé aux membres de l’Acon,Members of Acon only,,,
d28-10,2026-08-28,21:00,22:00,casa,athelstan,,Reunião Provincial Anual de Athelstan – Província do Brasil,Réunion provinciale annuelle d’Athelstan – Province du Brésil,Annual Provincial Meeting of Athelstan – Province of Brazil,Somente membros de Athelstan,Réservé aux membres d’Athelstan,Members of Athelstan only,,,
d28-11,2026-08-28,22:00,,hotel,log,hotel,Retorno ao hotel,Retour à l’hôtel,Return to the hotel,,,,,,
d29-1,2026-08-29,09:30,,hotel,log,pickup,Buscar a delegação francesa no hotel,Prise en charge de la délégation française à l’hôtel,Pick up the French delegation at the hotel,,,,,,
d29-2,2026-08-29,10:30,12:30,mariz,osm,,Constituição do Grande Conclave do Secret Monitor para o Rio de Janeiro,Constitution du Grand Conclave du Secret Monitor pour Rio de Janeiro,Constitution of the Grand Conclave of the Secret Monitor for Rio de Janeiro,,,,,,
d29-3,2026-08-29,12:30,14:00,,log,meal,Almoço · A definir,Déjeuner · À définir,Lunch · To be defined,,,,,,
d29-4,2026-08-29,14:00,15:30,hotel,log,hotel,Retorno ao hotel – intervalo,Retour à l’hôtel – pause,Return to the hotel – break,,,,,,
d29-5,2026-08-29,15:30,,amorio,log,transfer,Transferência para a AMO Rio,Transfert vers l’AMO Rio,Transfer to AMO Rio,,,,,,
d29-6,2026-08-29,15:30,17:00,amorio,log,coffee,Intervalo para café,Pause café,Coffee break,,,,,,
d29-7,2026-08-29,17:00,20:00,amorio,rb33,,Cerimônia do 33º Grau do Rito Brasileiro e Cerimônia de Premiação (Irmãos Franceses),Cérémonie du 33e Degré du Rite Brésilien et cérémonie de distinctions (Frères français),33rd Degree Ceremony of the Brazilian Rite and Award Ceremony (French Brethren),"Somente para Servidores da Pátria, da Ordem e da Humanidade, grau 33 do Rito Brasileiro, e irmãos grau 33 de ritos coirmãos. Interessados no reconhecimento devem contatar o conclave: grandesecretaria@scrb33.org.br","Réservé aux Serviteurs de la Patrie, de l’Ordre et de l’Humanité, 33e degré du Rite Brésilien, et aux frères du 33e degré de rites frères. Pour la reconnaissance, veuillez contacter le conclave : grandesecretaria@scrb33.org.br","Restricted to Servants of the Homeland, of the Order and of Humanity, 33rd Degree of the Brazilian Rite, and 33rd-Degree brethren of sister rites. Those interested in recognition should contact the conclave: grandesecretaria@scrb33.org.br",,,
d29-8,2026-08-29,20:00,22:00,amorio,geral,social,Jantar de despedida,Dîner d’adieu,Farewell dinner,,,,Inscrições pelo e-mail grandesecretaria@scrb33.org.br,Inscriptions par e-mail : grandesecretaria@scrb33.org.br,Registration by e-mail: grandesecretaria@scrb33.org.br
d29-9,2026-08-29,22:00,,hotel,log,hotel,Retorno ao hotel,Retour à l’hôtel,Return to the hotel,,,,,,
d30-1,2026-08-30,09:30,,hotel,log,pickup,Buscar a delegação francesa no hotel,Prise en charge de la délégation française à l’hôtel,Pick up the French delegation at the hotel,,,,,,
d30-2,2026-08-30,10:30,12:30,mariz,amd,,Constituição do Grande Conselho de Allied Masonic Degrees para o Rio de Janeiro,Constitution du Grand Conseil des Allied Masonic Degrees pour Rio de Janeiro,Constitution of the Grand Council of the Allied Masonic Degrees for Rio de Janeiro,,,,,,
d30-3,2026-08-30,12:30,14:00,,log,meal,Almoço · A definir,Déjeuner · À définir,Lunch · To be defined,,,,,,
d30-4,2026-08-30,14:00,,hotel,log,hotel,Retorno ao hotel,Retour à l’hôtel,Return to the hotel,,,,,,
